,leaf_size,n_neighbors,cross validation score,macro recall,deceased recall,micro recall
0,5,5,0.9839882266372332,0.9201851752507247,0.7262781651574635,0.9839882266372332
1,5,10,0.9798755769616697,0.8982280164908304,0.6495113306680008,0.9798755769616697
2,5,15,0.9757094120008029,0.8824206047404569,0.5962419412755434,0.9757094120008029
3,15,5,0.9839641447588466,0.9200037772601445,0.7256068739736442,0.9839641447588466
4,15,10,0.9798782527259348,0.8982262892363558,0.6495113306680008,0.9798782527259348
5,15,15,0.9757067362365376,0.8824189206133023,0.5962419412755434,0.9757067362365376
6,49,5,0.9839694962873771,0.9200071624202785,0.7256068739736442,0.9839694962873771
7,49,10,0.9798755769616697,0.8982280165595834,0.6495113306680008,0.9798755769616697
8,49,15,0.9757067362365376,0.8824154923258485,0.5962419412755434,0.9757067362365376
